ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	Max	MaxLoc	Min	MinLoc	Max_Amp	FC	IQR_FC	Tau	P	GammaP	GammaBH
0	cosine	24.0	0.0	12.0	10.0064047873	0.749419862026	11.107065893	ZT0	8.90766774023	ZT12	2.19939815277	1.24691066359	1.15961764115	0.851955153962	5.46037237708e-09	1.40096789284e-06	1.51771521724e-06
1	cosine	24.0	0.0	10.0	10.018679463	0.727924169051	11.0766576177	ZT24	8.92147801679	ZT10	2.15517960091	1.24157203513	1.15602918361	0.891816683478	1.02549683327e-09	4.32366082145e-07	1.02238283946e-06
2	cosine	24.0	20.0	10.0	9.98888098806	0.715033629266	11.0431247855	ZT20	8.74721479275	ZT34	2.29590999275	1.26247326116	1.13674162224	0.857194615415	4.40107602311e-09	1.20181404058e-06	1.42032568432e-06
3	cosine	24.0	22.0	8.0	10.0127287069	0.712948777531	10.9717926645	ZT22	8.96382396253	ZT10	2.00796870197	1.22400804728	1.1614528444	0.866580993515	2.98126488298e-09	9.12305707648e-07	1.31777491105e-06
4	cosine	24.0	20.0	8.0	10.0050702277	0.745270799773	11.0391785402	ZT46	8.9117939954	ZT32	2.1273845448	1.238715633	1.15624763289	0.905133601834	5.77111746304e-10	2.90613871926e-07	1.00234380838e-06
5	cosine	24.0	20.0	6.0	10.0109275596	0.719205503138	11.0371295912	ZT20	8.92414000431	ZT6	2.11298958689	1.23677234847	1.15048818113	0.910458512174	4.57549135094e-10	2.47777825977e-07	1.00234380838e-06
6	cosine	24.0	18.0	6.0	9.97351140032	0.716974773647	10.9915071398	ZT18	8.98347196144	ZT30	2.00803517836	1.22352551296	1.15046318619	0.927031995427	2.20304340992e-10	1.50512338951e-07	1.00234380838e-06
7	cosine	24.0	16.0	6.0	10.0113612233	0.710341964699	11.0044581094	ZT40	8.92483379442	ZT30	2.07962431498	1.23301546705	1.1608591879	0.886500414232	1.2871301212e-09	5.06363001215e-07	1.02238283946e-06
8	cosine	24.0	16.0	4.0	10.0353617416	0.714176922917	11.1174694426	ZT40	8.79494774988	ZT4	2.32252169272	1.26407452992	1.15470147791	0.861336814649	3.70787506986e-09	1.06433449933e-06	1.38363484912e-06
9	cosine	24.0	14.0	4.0	10.0265683641	0.717354320261	11.1881433903	ZT16	9.05885914503	ZT26	2.12928424527	1.23504993412	1.14796353833	0.879173964528	1.7567336556e-09	6.29158670437e-07	1.02238283946e-06
10	cosine	24.0	14.0	2.0	10.005218029	0.717061862319	11.1581634437	ZT14	8.8588080465	ZT2	2.2993553972	1.25955584376	1.1474258004	0.881206833068	1.61187463363e-09	5.92413741394e-07	1.02238283946e-06
11	cosine	24.0	12.0	0.0	9.94983397405	0.709564745632	11.0894670572	ZT12	8.86727381787	ZT0	2.22219323933	1.25060613724	1.1487214651	0.903145592398	6.29153177762e-10	3.08413479502e-07	1.00234380838e-06
12	cosine	24.0	12.0	0.0	10.0180142757	0.692690644352	11.0868510627	ZT12	8.88585454796	ZT22	2.20099651474	1.24769666247	1.14308529109	0.822703474856	1.7788351959e-08	3.27461436465e-06	3.27461436465e-06
